Site,Borough,Coords - Easting,Coords - Northing,Latitude,Longitude
Aston Street,Tower Hamlets,536193.000,181518.000,51.516175,-0.038594438
Imperial Wharf Station,H&F,526277.280,176643.980,51.474665,-0.18316517
Riverlight North,Wandsworth,529524.180,177582.330,51.48237,-0.13609482
Putney Pier,Wandsworth,524000.880,175710.090,51.466783,-0.21626086
Wansey Street,Southwark,532160.270,178627.350,51.491152,-0.097764812
Boston Place,Westminster,527589.200,182009.840,51.522594,-0.16234582
Clapham Common Northside,Wandsworth,527969.710,175203.370,51.461344,-0.15933685
Binfield Road,Lambeth,530472.986,176508.879,51.472501,-0.12284667
Abyssinia Close ,Wandsworth,527435.680,175080.190,51.460359,-0.16706358
Limburg Road,Wandsworth,527553.300,175257.000,51.461923,-0.16530221
Page Street,Westminster,530084.910,178888.120,51.493978,-0.12755402
Rifle Place,K&C,523901.730,180429.700,51.509215,-0.21603078
Tallis Street ,City,531432.600,180916.500,51.511892,-0.10739269
Woodstock Grove,H&F,523819.670,179850.860,51.504029,-0.21741484
Sandilands Road,H&F,525680.130,176511.240,51.473611,-0.1918035
Little Brook Green,H&F,523391.860,179020.380,51.496664,-0.22386827
Hurlingham Park,H&F,524904.410,176127.160,51.470332,-0.20310631
Seymour Place,Westminster,527504.350,181755.310,51.520331,-0.16366214
Gwendwr Road,H&F,524429.820,178417.234,51.491017,-0.20913546
Ram Street,Wandsworth,525698.890,174722.250,51.45753,-0.19218
Storey's Gate,Westminster,529915.960,179632.330,51.500703,-0.12971336
Ranelagh Gardens,H&F,524653.350,175817.280,51.467601,-0.20682737
St. John's Road,Wandsworth,527343.520,175304.130,51.462393,-0.16830653
Santos Road,Wandsworth,525099.770,174654.900,51.457051,-0.20082104
Hurlingham Park,H&F,524904.410,176127.160,51.470332,-0.20310631
Broadley Terrace,Westminster,527352.686,182221.621,51.524553,-0.16568345
Mile End Park Leisure Centre,Tower Hamlets,536597.681,182021.105,51.520597,-0.032580937
Doddington Grove,Southwark,531808.810,178148.438,51.486929,-0.10301069
Humbolt Road,H&F,524261.350,177545.390,51.483217,-0.21186064
Rossmore Road,Westminster,527481.210,182304.030,51.52527,-0.16379501
Prince of Wales Drive,Wandsworth,527941.720,176738.570,51.475145,-0.15918455
Grenfell Road,K&C,523978.970,180841.170,51.512901,-0.21477709
Duke Street Hill,Southwark,532844.560,180330.780,51.506296,-0.087277772
Simpson Street,Wandsworth,527152.880,176240.240,51.470847,-0.17071806
Hammersmith Town Hall,H&F,522692.170,178554.810,51.492628,-0.2340945
Crisp Road,H&F,523223.780,178064.490,51.488109,-0.22662061
Culvert Road,Wandsworth,528044.920,176289.630,51.471087,-0.15786485
Manfred Road,Wandsworth,524735.870,174769.280,51.458165,-0.20601687
